Symbol,Date,Close
CNR,1/2/2018,104.19
CNR,1/3/2018,104.63
CNR,1/4/2018,105.31
CNR,1/5/2018,105.41
CNR,1/8/2018,104.76
CNR,1/9/2018,104.71
CNR,1/10/2018,101.87
CNR,1/11/2018,101.95
CNR,1/12/2018,101.04
CNR,1/15/2018,100.86
CNR,1/16/2018,100.94
CNR,1/17/2018,99.96
CNR,1/18/2018,99.99
CNR,1/19/2018,101
CNR,1/22/2018,99.39
CNR,1/23/2018,100.13
CNR,1/24/2018,98.01
CNR,1/25/2018,97.02
CNR,1/26/2018,97.61
CNR,1/29/2018,98.04
CNR,1/30/2018,97.43
CNR,1/31/2018,98.58
CNR,2/1/2018,97.88
CNR,2/2/2018,97.48
CNR,2/5/2018,96.67
CNR,2/6/2018,96.5
CNR,2/7/2018,95.82
CNR,2/8/2018,93.91
CNR,2/9/2018,94.57
CNR,2/12/2018,96.84
CNR,2/13/2018,95.28
CNR,2/14/2018,96.35
CNR,2/15/2018,95.97
CNR,2/16/2018,95.64
CNR,2/20/2018,95.33
CNR,2/21/2018,98.03
CNR,2/22/2018,98.23
CNR,2/23/2018,97.86
CNR,2/26/2018,100.04
CNR,2/27/2018,101.34
CNR,2/28/2018,99.28
CNR,3/1/2018,97.49
CNR,3/2/2018,97.02
CNR,3/5/2018,97.15
CNR,3/6/2018,95.24
CNR,3/7/2018,94.09
CNR,3/8/2018,95.08
CNR,3/9/2018,95.53
CNR,3/12/2018,96.09
CNR,3/13/2018,96.41
CNR,3/14/2018,96.66
CNR,3/15/2018,96.17
CNR,3/16/2018,96.25
CNR,3/19/2018,95
CNR,3/20/2018,95.31
CNR,3/21/2018,94.98
CNR,3/22/2018,92.93
CNR,3/23/2018,91.05
CNR,3/26/2018,92.29
CNR,3/27/2018,92.36
CNR,3/28/2018,92.52
CNR,3/29/2018,94.16
CNR,4/2/2018,94.03
CNR,4/3/2018,94.07
CNR,4/4/2018,94.13
CNR,4/5/2018,95.24
CNR,4/6/2018,94.51
CNR,4/9/2018,94.93
CNR,4/10/2018,93.62
CNR,4/11/2018,94.25
CNR,4/12/2018,94.08
CNR,4/13/2018,93.76
CNR,4/16/2018,94.74
CNR,4/17/2018,94.83
CNR,4/18/2018,96.16
CNR,4/19/2018,96.48
CNR,4/20/2018,96.21
CNR,4/23/2018,96.58
CNR,4/24/2018,96.13
CNR,4/25/2018,98.46
CNR,4/26/2018,99.9
CNR,4/27/2018,100.65
CNR,4/30/2018,99.17
CNR,5/1/2018,97.97
CNR,5/2/2018,98.05
CNR,5/3/2018,98.45
CNR,5/4/2018,100.62
CNR,5/7/2018,101.37
CNR,5/8/2018,102.08
CNR,5/9/2018,102.2
CNR,5/10/2018,102.5
CNR,5/11/2018,101.58
CNR,5/14/2018,101.95
CNR,5/15/2018,103.83
CNR,5/16/2018,106.35
CNR,5/17/2018,107.44
CNR,5/18/2018,107.1
CNR,5/22/2018,106.51
CNR,5/23/2018,107.9
CNR,5/24/2018,107.98
CNR,5/25/2018,108.99
CNR,5/28/2018,107.57
CNR,5/29/2018,108
CNR,5/30/2018,108.93
CNR,5/31/2018,108.25
CNR,6/1/2018,108.13
CNR,6/4/2018,107.79
CNR,6/5/2018,107.24
CNR,6/6/2018,107.71
CNR,6/7/2018,107.3
CNR,6/8/2018,107.88
CNR,6/11/2018,108.24
CNR,6/12/2018,108.35
CNR,6/13/2018,108.31
CNR,6/14/2018,109.43
CNR,6/15/2018,109.58
CNR,6/18/2018,108.83
