Symbol,Date,Close
TD,1/2/2018,102.95
TD,1/3/2018,103.89
TD,1/4/2018,104.89
TD,1/5/2018,104.74
TD,1/8/2018,104.31
TD,1/9/2018,104.84
TD,1/10/2018,105.01
TD,1/11/2018,105.08
TD,1/12/2018,105.16
TD,1/15/2018,105.26
TD,1/16/2018,105.77
TD,1/17/2018,106.28
TD,1/18/2018,106.91
TD,1/19/2018,107.72
TD,1/22/2018,108.05
TD,1/23/2018,107.36
TD,1/24/2018,106.01
TD,1/25/2018,105.52
TD,1/26/2018,105.72
TD,1/29/2018,105.14
TD,1/30/2018,105.45
TD,1/31/2018,105.32
TD,2/1/2018,104.67
TD,2/2/2018,103.55
TD,2/5/2018,101.14
TD,2/6/2018,101.35
TD,2/7/2018,101.07
TD,2/8/2018,99.24
TD,2/9/2018,99.08
TD,2/12/2018,99.72
TD,2/13/2018,99.81
TD,2/14/2018,100.51
TD,2/15/2018,100.6
TD,2/16/2018,100.48
TD,2/20/2018,100.49
TD,2/21/2018,102.5
TD,2/22/2018,102.16
TD,2/23/2018,102.56
TD,2/26/2018,102.39
TD,2/27/2018,102.88
TD,2/28/2018,101.09
TD,3/1/2018,100.57
TD,3/2/2018,99.91
TD,3/5/2018,100.91
TD,3/6/2018,100.76
TD,3/7/2018,100.56
TD,3/8/2018,101.52
TD,3/9/2018,101.76
TD,3/12/2018,101.81
TD,3/13/2018,101.81
TD,3/14/2018,101.54
TD,3/15/2018,102.19
TD,3/16/2018,102.32
TD,3/19/2018,102.04
TD,3/20/2018,102.62
TD,3/21/2018,102.27
TD,3/22/2018,100.64
TD,3/23/2018,99.21
TD,3/26/2018,99.86
TD,3/27/2018,98.88
TD,3/28/2018,98.69
TD,3/29/2018,99.52
TD,4/2/2018,98.73
TD,4/3/2018,98.2
TD,4/4/2018,97.59
TD,4/5/2018,98.34
TD,4/6/2018,97.3
TD,4/9/2018,98.04
TD,4/10/2018,98.05
TD,4/11/2018,97.04
TD,4/12/2018,96.76
TD,4/13/2018,96.06
TD,4/16/2018,96.39
TD,4/17/2018,96.22
TD,4/18/2018,97
TD,4/19/2018,96.63
TD,4/20/2018,97.28
TD,4/23/2018,97.98
TD,4/24/2018,96.55
TD,4/25/2018,96.61
TD,4/26/2018,97.18
TD,4/27/2018,98.15
TD,4/30/2018,97.64
TD,5/1/2018,97.67
TD,5/2/2018,97.71
TD,5/3/2018,97.66
TD,5/4/2018,97.83
TD,5/7/2018,98.76
TD,5/8/2018,98.88
TD,5/9/2018,99.63
TD,5/10/2018,99.96
TD,5/11/2018,100.38
TD,5/14/2018,100.99
TD,5/15/2018,101.04
TD,5/16/2018,101.31
TD,5/17/2018,101.05
TD,5/18/2018,100.57
TD,5/22/2018,101.75
TD,5/23/2018,101.12
TD,5/24/2018,99.12
TD,5/25/2018,98.58
TD,5/28/2018,98.07
TD,5/29/2018,96.88
TD,5/30/2018,96.79
TD,5/31/2018,98
TD,6/1/2018,98.14
TD,6/4/2018,98.94
TD,6/5/2018,99.32
TD,6/6/2018,99.24
TD,6/7/2018,99.4
TD,6/8/2018,99.89
TD,6/11/2018,99.94
TD,6/12/2018,100.06
TD,6/13/2018,99.92
TD,6/14/2018,99.85
TD,6/15/2018,100.26
TD,6/18/2018,100.44
TD,6/19/2018,99.97
TD,6/20/2018,100.44
TD,6/21/2018,100.66
TD,6/22/2018,101.37
TD,6/25/2018,99.8
